"SPECIES","n"
"Golden-winged warbler",2
"Gray sac-winged bat",2
"Gray-crowned rosy-finch",2
"Great cormorant",2
"Gyrfalcon",2
"Harlequin duck",2
"Iguanas",2
"Indian flying fox",2
"Island canary",2
"Java sparrow",2
"Kirtland's warbler",2
"Kittiwakes",2
"Lawrence's goldfinch",2
"Lawrence's warbler",2
"Least weasel",2
"Long-eared myotis",2
"Long-tailed weasel",2
"Longspurs, snow buntings",2
"Loons",2
"Mammals",2
"Milk snake",2
"Morelet's seedeater",2
"Mountain cottontail",2
"Mynas",2
"Northern hawk owl",2
"Old World vultures",2
"Olive-backed pipit",2
"Oriental plover",2
"Oriental turtle dove",2
"Ornate box turtle",2
"Pallid swift",2
"Parakeets",2
"Pelagic cormorant",2
"Pheasants",2
"Pin-tailed snipe",2
"Prairie dogs",2
"Prairie dogs, marmots, squirrels",2
"Purple heron",2
"Purple sandpiper",2
"Red-crowned amazon",2
"Redwing",2
"River cooter",2
"River otter",2
"Rock sandpiper",2
"Rook",2
"Ross's goose",2
"Rufous-tailed robin",2
"Sabine's gull",2
"Snowshoe hare",2
"Southeastern myotis",2
"Spiny softshell turtle",2
"Spotted bat",2
"Spotted thick-knee",2
"Spruce grouse",2
"Swift, tree-swifts, hummingbirds",2
"Thick-billed kingbird",2
"Thirteen-lined ground squirrel",2
"Towhees",2
"Wagner's bonneted bat",2
"Western house-martin",2
"Western ribbon snake",2
"White-fronted Swift",2
"White-winged tern",2
"African yellow bat",1
"Alpine swift",1
"Alvarez’s mastiff bat",1
"American red squirrel",1
"Angolan free-tailed bat",1
"Antillean fruit-eating bat",1
"Australian pelican",1
"Avocets,stilts",1
"Axis deer",1
"Band-rumped storm-petrel",1
"Bearded seal",1
"Bell's vireo",1
"Black mastiff bat",1
"Black redstart",1
"Black-bearded tomb bat",1
"Black-chinned sparrow",1
"Black-crowned sparrow lark",1
"Black-faced bunting",1
"Blue-black grassquit",1
"Blue-tailed bee-eater",1
"Bluethroat",1
"Bobcat",1
"Broad-eared bat",1
"Broad-tailed hummingbird",1
"Bronze mannikin",1
