"SPECIES","PHASE_OF_FLIGHT","TIME_OF_DAY","reported_strikes","damaging_strikes","damage_rate"
"Yellow-crowned night heron","Arrival","Night",1,1,1
"Yellow-crowned night heron","Climb","Night",1,1,1
"Yellow-crowned night heron","Descent","Night",1,1,1
"Yellow-crowned night heron","En Route","Night",1,1,1
"Yellow-headed blackbird","Take-off Run","Day",1,1,1
"Yellow-legged gull","Climb","Night",1,1,1
"Snow goose","Climb","Night",22,21,0.954545454545455
"White-tailed deer","Landing Roll","Day",127,119,0.937007874015748
"Geese","En Route","Day",13,12,0.923076923076923
"Mallard","En Route","Night",24,22,0.916666666666667
"Double-crested cormorant","En Route","Day",11,10,0.909090909090909
"Brown pelican","En Route","Day",10,9,0.9
"White-tailed deer","Landing Roll","Dusk",81,72,0.888888888888889
"Domestic/feral dog","Landing Roll","Day",9,8,0.888888888888889
"Lesser scaup","Climb","Night",9,8,0.888888888888889
"Osprey","En Route","Day",9,8,0.888888888888889
"Turkey vulture","En Route","Day",129,113,0.875968992248062
"Anhinga","En Route","Day",8,7,0.875
"White-tailed deer","Climb","Day",8,7,0.875
"Snow goose","En Route","Night",15,13,0.866666666666667
"White-tailed deer","Landing Roll","Night",490,423,0.863265306122449
"Lesser scaup","En Route","Night",7,6,0.857142857142857
"Greater white-fronted goose","Climb","Night",13,11,0.846153846153846
"American coot","En Route","Night",19,16,0.842105263157895
"Red-tailed hawk","En Route","Day",48,40,0.833333333333333
"Bald eagle","Approach","Dusk",6,5,0.833333333333333
"Herring gull","En Route","Day",6,5,0.833333333333333
"Northern pintail","Climb","Dawn",6,5,0.833333333333333
"White-tailed deer","Approach","Night",53,44,0.830188679245283
"White-tailed deer","Climb","Night",22,18,0.818181818181818
"Brant","Approach","Night",11,9,0.818181818181818
"Black vulture","En Route","Day",43,35,0.813953488372093
"White-tailed deer","Take-off Run","Day",75,61,0.813333333333333
"Mule deer","Landing Roll","Day",21,17,0.80952380952381
"Canada goose","En Route","Day",36,29,0.805555555555556
"White-tailed deer","Take-off Run","Night",161,129,0.801242236024845
"Bald eagle","En Route","Day",30,24,0.8
"Ducks, geese, swans","En Route","Night",10,8,0.8
"American wigeon","Approach","Dusk",5,4,0.8
"Golden eagle","Climb","Day",5,4,0.8
"Magnificent frigatebird","Approach","Day",5,4,0.8
"Northern pintail","Climb","Dusk",5,4,0.8
"Redhead","Approach","Night",5,4,0.8
"Ring-billed gull","En Route","Day",5,4,0.8
"Ring-necked duck","Climb","Night",5,4,0.8
