"SPECIES","LABEL_TYPE","REPORTED_STRIKES","KNOWN_DAMAGE_REPORTS","DAMAGING_STRIKES","MISSING_DAMAGE_REPORTS","DAMAGE_RATE","COUNT_RANK"
"Double-striped thick-knee","Named species",3,3,1,0,0.333333333333333,259
"Eurasian wigeon","Named species",3,3,1,0,0.333333333333333,259
"Helmeted guineafowl","Named species",3,3,1,0,0.333333333333333,259
"Meadow pipit","Named species",3,3,1,0,0.333333333333333,259
"Pacific loon","Named species",3,3,1,0,0.333333333333333,259
"Rock ptarmigan","Named species",3,3,1,0,0.333333333333333,259
"Emperor goose","Named species",2,2,1,0,0.5,259
"Eurasian curlew","Named species",2,2,1,0,0.5,259
"Great cormorant","Named species",2,2,1,0,0.5,259
"Indian flying fox","Named species",2,2,1,0,0.5,259
"Purple heron","Named species",2,2,1,0,0.5,259
"River otter","Named species",2,2,1,0,0.5,259
"Spotted thick-knee","Named species",2,2,1,0,0.5,259
"Australian pelican","Named species",1,1,1,0,1,259
"Black mastiff bat","Named species",1,1,1,0,1,259
"Bobcat","Named species",1,1,1,0,1,259
"Brown bear","Named species",1,1,1,0,1,259
"Dark-billed cuckoo","Named species",1,1,1,0,1,259
"Domestic sheep","Named species",1,1,1,0,1,259
"Eurasian moorhen","Named species",1,1,1,0,1,259
"Gray heron","Named species",1,1,1,0,1,259
"Greater spotted eagle","Named species",1,1,1,0,1,259
"Hooded crow","Named species",1,1,1,0,1,259
"Ladder-backed woodpecker","Named species",1,1,1,0,1,259
"Lappet-faced vulture","Named species",1,1,1,0,1,259
"Northern lapwing","Named species",1,1,1,0,1,259
"Philippine duck","Named species",1,1,1,0,1,259
"Spur-winged lapwing","Named species",1,1,1,0,1,259
"Surfbird","Named species",1,1,1,0,1,259
"Vega gull","Named species",1,1,1,0,1,259
"Wedge-tailed eagle","Named species",1,1,1,0,1,259
"White stork","Named species",1,1,1,0,1,259
"White-bellied sea-eagle","Named species",1,1,1,0,1,259
"White-fronted Swift","Named species",1,1,1,0,1,259
"Whooping crane","Named species",1,1,1,0,1,259
"Little brown bat","Named species",508,508,0,0,0,384
"Big brown bat","Named species",404,404,0,0,0,384
"Palm warbler","Named species",259,259,0,0,0,384
"American goldfinch","Named species",209,209,0,0,0,384
"Yellow bittern","Named species",188,188,0,0,0,384
"Eurasian skylark","Named species",180,180,0,0,0,384
"Orange-crowned warbler","Named species",146,146,0,0,0,384
"Golden-crowned kinglet","Named species",142,142,0,0,0,384
"Gopher snake","Named species",138,138,0,0,0,384
"Nashville warbler","Named species",127,127,0,0,0,384
"Bay-breasted warbler","Named species",126,126,0,0,0,384
"Desert cottontail","Named species",115,115,0,0,0,384
"Magnolia warbler","Named species",113,113,0,0,0,384
"Black-throated blue warbler","Named species",112,112,0,0,0,384
"Western flycatcher","Named species",112,112,0,0,0,384
"Black-tailed prairie dog","Named species",104,104,0,0,0,384
"Loggerhead shrike","Named species",99,99,0,0,0,384
"Diamondback terrapin","Named species",95,95,0,0,0,384
"Black-throated green warbler","Named species",90,90,0,0,0,384
"Ruby-throated hummingbird","Named species",90,90,0,0,0,384
"Cape May warbler","Named species",84,84,0,0,0,384
"Chestnut-sided warbler","Named species",81,81,0,0,0,384
"Common snapping turtle","Named species",73,73,0,0,0,384
"Common ground dove","Named species",72,72,0,0,0,384
"Brewer's sparrow","Named species",69,69,0,0,0,384
"Painted turtle","Named species",68,68,0,0,0,384
"Blackburnian warbler","Named species",66,66,0,0,0,384
"Green iguana","Named species",63,63,0,0,0,384
"Pine warbler","Named species",63,63,0,0,0,384
"American tree sparrow","Named species",61,61,0,0,0,384
"Gopher tortoise","Named species",59,59,0,0,0,384
"American oystercatcher","Named species",58,58,0,0,0,384
"Domestic/feral cat","Named species",53,53,0,0,0,384
"Muskrat","Named species",53,53,0,0,0,384
"Lesser nighthawk","Named species",50,50,0,0,0,384
"Seminole bat","Named species",50,50,0,0,0,384
"Tri-colored bat","Named species",49,49,0,0,0,384
"Least tern","Named species",46,46,0,0,0,384
"Ruddy turnstone","Named species",46,46,0,0,0,384
"Winter wren","Named species",43,43,0,0,0,384
"Canada warbler","Named species",42,42,0,0,0,384
"Hammond's flycatcher","Named species",42,42,0,0,0,384
"Common box turtle","Named species",41,41,0,0,0,384
"Eastern bluebird","Named species",40,40,0,0,0,384
"MacGillivray's warbler","Named species",40,40,0,0,0,384
"Say's phoebe","Named species",40,40,0,0,0,384
"Townsend's warbler","Named species",40,40,0,0,0,384
"Mississippi kite","Named species",39,39,0,0,0,384
"Clay-colored sparrow","Named species",35,35,0,0,0,384
"Purple finch","Named species",35,35,0,0,0,384
"Prairie warbler","Named species",34,34,0,0,0,384
"Rusty blackbird","Named species",34,34,0,0,0,384
"Black noddy","Named species",32,32,0,0,0,384
"Black-capped chickadee","Named species",31,31,0,0,0,384
"Rufous hummingbird","Named species",31,31,0,0,0,384
"Acadian flycatcher","Named species",30,30,0,0,0,384
"Black drongo","Named species",30,30,0,0,0,384
"Bonin petrel","Named species",30,30,0,0,0,384
"Forster's tern","Named species",30,30,0,0,0,384
"White-eyed vireo","Named species",30,30,0,0,0,384
"North American porcupine","Named species",29,29,0,0,0,384
