"SPECIES","SPECIES_GROUP","REVIEW_STATUS"
"Common loon","Seabirds","Existing assignment; not fully audited"
"Common merganser","Waterfowl","Existing assignment; not fully audited"
"Common murre","Seabirds","Existing assignment; not fully audited"
"Common myna","Perching birds","Reviewed 2026-09-18"
"Common nighthawk","Other birds","Existing assignment; not fully audited"
"Common pauraque","Other birds","Reviewed 2026-09-18"
"Common pipistrelle","Bats","Reviewed 2026-09-18"
"Common poorwill","Other birds","Reviewed 2026-09-18"
"Common raven","Corvids","Existing assignment; not fully audited"
"Common ringed plover","Shorebirds","Existing assignment; not fully audited"
"Common snapping turtle","Reptiles & amphibians","Existing assignment; not fully audited"
"Common snipe","Shorebirds","Existing assignment; not fully audited"
"Common swift","Other birds","Existing assignment; not fully audited"
"Common tern","Gulls & terns","Existing assignment; not fully audited"
"Common waxbill","Perching birds","Reviewed 2026-09-18"
"Common wood-pigeon","Doves & pigeons","Existing assignment; not fully audited"
"Common yellowthroat","Perching birds","Reviewed 2026-09-18"
"Connecticut warbler","Perching birds","Existing assignment; not fully audited"
"Cooper's hawk","Raptors","Existing assignment; not fully audited"
"Cormorants","Seabirds","Existing assignment; not fully audited"
"Corn crake","Wading birds","Reviewed 2026-09-18"
"Corn snake","Reptiles & amphibians","Existing assignment; not fully audited"
"Costa's hummingbird","Other birds","Existing assignment; not fully audited"
"Couch's kingbird","Perching birds","Existing assignment; not fully audited"
"Coyote","Other mammals","Existing assignment; not fully audited"
"Coypu (nutria)","Other mammals","Reviewed 2026-09-18"
"Cranes","Wading birds","Existing assignment; not fully audited"
"Crested caracara","Raptors","Existing assignment; not fully audited"
"Crows","Corvids","Existing assignment; not fully audited"
"Crows, ravens","Corvids","Existing assignment; not fully audited"
"Cuban flower bat","Bats","Existing assignment; not fully audited"
"Cuckoos","Other birds","Existing assignment; not fully audited"
"Curve-billed thrasher","Perching birds","Existing assignment; not fully audited"
"Dark-billed cuckoo","Other birds","Existing assignment; not fully audited"
"Dark-eyed junco","Perching birds","Existing assignment; not fully audited"
"Deer","Deer","Existing assignment; not fully audited"
"DeKay's brown snake","Reptiles & amphibians","Existing assignment; not fully audited"
"Desert cottontail","Other mammals","Reviewed 2026-09-18"
"Diamondback terrapin","Reptiles & amphibians","Existing assignment; not fully audited"
"Diamondback water snake","Reptiles & amphibians","Existing assignment; not fully audited"
"Dickcissel","Perching birds","Reviewed 2026-09-18"
"Diving duck (Aythya)","Waterfowl","Existing assignment; not fully audited"
"Domestic sheep","Other mammals","Reviewed 2026-09-18"
"Domestic/feral cat","Other mammals","Existing assignment; not fully audited"
"Domestic/feral chicken","Upland game birds","Reviewed 2026-09-18"
"Domestic/feral dog","Other mammals","Existing assignment; not fully audited"
"Double-crested cormorant","Seabirds","Existing assignment; not fully audited"
"Double-striped thick-knee","Shorebirds","Reviewed 2026-09-18"
"Doves","Doves & pigeons","Existing assignment; not fully audited"
"Downy woodpecker","Other birds","Existing assignment; not fully audited"
"Drongos","Perching birds","Reviewed 2026-09-18"
"Ducks","Waterfowl","Existing assignment; not fully audited"
"Ducks, geese, swans","Waterfowl","Existing assignment; not fully audited"
"Dunlin","Shorebirds","Existing assignment; not fully audited"
"Dusky flycatcher","Perching birds","Existing assignment; not fully audited"
"Dusky thrush","Perching birds","Existing assignment; not fully audited"
"Eagles","Raptors","Existing assignment; not fully audited"
"Eared dove","Doves & pigeons","Existing assignment; not fully audited"
"Eared grebe","Seabirds","Existing assignment; not fully audited"
"Eastern barn owl","Raptors","Existing assignment; not fully audited"
"Eastern bluebird","Perching birds","Existing assignment; not fully audited"
"Eastern cattle egret","Wading birds","Existing assignment; not fully audited"
"Eastern cottontail","Other mammals","Reviewed 2026-09-18"
"Eastern diamondback rattlesnake","Reptiles & amphibians","Reviewed 2026-09-18"
"Eastern gray squirrel","Other mammals","Existing assignment; not fully audited"
